98922941 function calls (84103311 primitive calls) in 94.514 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
29080/28646    0.170    0.000    0.929    0.000 transforms.py:1787(__eq__)
    35271    0.158    0.000    0.220    0.000 transforms.py:2053(scale)
     8337    0.157    0.000    0.318    0.000 _stride_tricks_impl.py:489(broadcast_arrays)
     4608    0.152    0.000    1.809    0.000 lines.py:743(draw)
    57173    0.146    0.000    1.366    0.000 side_modification_util.py:99(turn_farmer_connection)
       72    0.144    0.002    2.156    0.030 tile_position_finder.py:10(possible_playing_positions)
     2042    0.144    0.000    3.778    0.002 axis.py:59(__init__)
   124023    0.141    0.000    0.224    0.000 enum.py:358(__call__)
    22462    0.137    0.000    0.284    0.000 fromnumeric.py:41(_wrapit)
      144    0.136    0.001    2.088    0.014 image.py:335(_make_image)
     2280    0.135    0.000    0.794    0.000 text.py:358(_get_layout)
    22032    0.133    0.000    0.210    0.000 core.py:2978(_update_from)
405713/269624    0.131    0.000    0.248    0.000 {built-in method builtins.hash}
    10230    0.131    0.000    0.157    0.000 _nanfunctions_impl.py:70(_replace_nan)
      144    0.130    0.001    0.132    0.001 {method 'draw_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     8063    0.128    0.000    0.162    0.000 _shape_base_impl.py:622(column_stack)
      143    0.126    0.001    0.126    0.001 {method 'getbbox' of 'ImagingCore' objects}
   114026    0.125    0.000    0.647    0.000 artist.py:415(pchanged)
   147650    0.124    0.000    0.162    0.000 carcassonne_game_state.py:43(get_tile)
   383926    0.122    0.000    0.122    0.000 {function RcParams.__getitem__ at 0x7f60d9a31280}
    72331    0.121    0.000    0.703    0.000 transforms.py:2517(composite_transform_factory)
     6007    0.121    0.000    3.813    0.001 _base.py:2358(_update_line_limits)
    43252    0.118    0.000    0.137    0.000 contextlib.py:86(__init__)
   134218    0.115    0.000    0.177    0.000 _function_base_impl.py:343(iterable)
11442/11296    0.113    0.000    0.689    0.000 transforms.py:1118(get_points)
    21491    0.113    0.000    0.113    0.000 {built-in method matplotlib._path.affine_transform}
     6007    0.109    0.000    5.456    0.001 _base.py:2330(add_line)
15756/10026    0.108    0.000    0.323    0.000 units.py:164(get_converter)
   102185    0.104    0.000    0.129    0.000 {built-in method _abc._abc_instancecheck}
    18407    0.104    0.000    1.235    0.000 markers.py:299(_set_marker)
    88757    0.103    0.000    0.797    0.000 transforms.py:158(invalidate)
    17155    0.102    0.000    0.182    0.000 transforms.py:1985(rotate)
    26255    0.101    0.000    0.101    0.000 cbook.py:1834(<dictcomp>)
      135    0.101    0.001    1.199    0.009 agents_ai.py:241(train_step)
    19584    0.100    0.000    0.365    0.000 core.py:3004(__array_finalize__)
   482397    0.098    0.000    0.098    0.000 enum.py:792(value)
 6480/144    0.097    0.000   12.853    0.089 artist.py:54(draw_wrapper)
    12133    0.096    0.000    0.232    0.000 lines.py:1143(set_linestyle)
      472    0.096    0.000    0.125    0.000 assumptions.py:614(_prepare_class_assumptions)
    55642    0.096    0.000    0.283    0.000 artist.py:103(_stale_axes_callback)
    19411    0.095    0.000    0.277    0.000 tile.py:70(get_type)
      963    0.095    0.000    0.097    0.000 {built-in method marshal.loads}
   221217    0.094    0.000    0.135    0.000 enum.py:774(__hash__)
   191959    0.094    0.000    0.480    0.000 side_modification_util.py:45(<lambda>)
    33076    0.093    0.000    0.276    0.000 colors.py:275(to_rgba)
     3556    0.091    0.000    0.133    0.000 numeric.py:300(full)
   191952    0.091    0.000    0.409    0.000 side_modification_util.py:78(<lambda>)
    33364    0.091    0.000    0.306    0.000 fromnumeric.py:69(_wrapreduction)
      868    0.087    0.000    0.115    0.000 _linalg.py:493(inv)
    36399    0.087    0.000    0.193    0.000 lines.py:1202(_set_markercolor)
71915/71780    0.087    0.000    0.170    0.000 {built-in method builtins.any}
     9790    0.085    0.000    0.246    0.000 ipkernel.py:775(_clean_thread_parent_frames)
     9216    0.083    0.000    0.339    0.000 core.py:2833(__new__)
   124022    0.083    0.000    0.083    0.000 enum.py:670(__new__)
96482/83317    0.083    0.000    0.485    0.000 transforms.py:2387(_invalidate_internal)
48190/34962    0.082    0.000    0.488    0.000 transforms.py:2401(_iter_break_from_left_to_right)
92294/87679    0.082    0.000    4.866    0.000 {built-in method builtins.next}
    57173    0.082    0.000    0.490    0.000 side_modification_util.py:76(turn_farmer_sides)
     6567    0.080    0.000    0.089    0.000 {built-in method matplotlib._path.update_path_extents}
     8183    0.079    0.000    0.414    0.000 _base.py:2546(_process_unit_info)
    71179    0.079    0.000    0.782    0.000 transforms.py:1350(__add__)
     5655    0.079    0.000    0.727    0.000 text.py:157(_reset_visual_defaults)
     1164    0.078    0.000    0.464    0.000 ticker.py:2100(_raw_ticks)
     5330    0.077    0.000    1.005    0.000 transforms.py:1428(__sub__)
    27849    0.076    0.000    0.390    0.000 fromnumeric.py:51(_wrapfunc)
    16217    0.076    0.000    0.420    0.000 markers.py:250(_recache)
    14750    0.075    0.000    0.211    0.000 transforms.py:1097(__init__)
