98922941 function calls (84103311 primitive calls) in 94.514 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      150    0.000    0.000    0.002    0.000 patches.py:405(set_color)
      288    0.000    0.000    0.000    0.000 cbook.py:327(<dictcomp>)
      527    0.000    0.000    0.001    0.000 _sharding_prop.py:94(register_op_strategy)
      199    0.000    0.000    0.000    0.000 inspect.py:1878(_signature_is_functionlike)
        6    0.000    0.000    0.005    0.001 serialization.py:1762(load_tensor)
      765    0.000    0.000    0.001    0.000 re.py:188(match)
      270    0.000    0.000    0.000    0.000 {method 'getpixel' of 'ImagingCore' objects}
      318    0.000    0.000    0.000    0.000 {method 'get_width_height' of 'matplotlib.ft2font.FT2Font' objects}
      260    0.000    0.000    0.000    0.000 sre_parse.py:356(_escape)
       81    0.000    0.000    0.012    0.000 dataclasses.py:550(_frozen_get_del_attr)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1320(invalidate_caches)
       88    0.000    0.000    0.003    0.000 _ops.py:1207(__getattr__)
      144    0.000    0.000    0.000    0.000 contextlib.py:398(_create_exit_wrapper)
        2    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
      588    0.000    0.000    0.000    0.000 axis.py:1733(<dictcomp>)
      135    0.000    0.000    0.000    0.000 adam.py:599(<listcomp>)
      174    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      135    0.000    0.000    0.000    0.000 _reduction.py:8(get_enum)
      272    0.000    0.000    0.000    0.000 {built-in method torch._C._dynamo.eval_frame.set_eval_frame}
       74    0.000    0.000    0.000    0.000 __init__.py:1335(_fixupParents)
       89    0.000    0.000    0.000    0.000 utils.py:61(reverse_dict)
       39    0.000    0.000    0.001    0.000 enum.py:164(__prepare__)
       16    0.000    0.000    0.010    0.001 offsetbox.py:762(get_bbox)
      156    0.000    0.000    0.001    0.000 linecache.py:52(checkcache)
      144    0.000    0.000    0.000    0.000 {method 'setimage' of 'ImagingEncoder' objects}
      147    0.000    0.000    0.001    0.000 _base.py:3485(set_axis_on)
      582    0.000    0.000    0.000    0.000 ticker.py:258(_set_locator)
      144    0.000    0.000    0.000    0.000 image.py:292(get_shape)
     1072    0.000    0.000    0.000    0.000 _type_check_impl.py:79(_real_dispatcher)
      144    0.000    0.000    0.011    0.000 transforms.py:1478(__array__)
       46    0.000    0.000    0.000    0.000 symbol.py:288(_sanitize)
      288    0.000    0.000    0.000    0.000 image.py:315(_get_scalar_alpha)
       41    0.000    0.000    0.036    0.001 sre_compile.py:783(compile)
       42    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
      135    0.000    0.000    0.000    0.000 adam.py:601(<listcomp>)
       81    0.000    0.000    0.001    0.000 __init__.py:2034(getLogger)
      270    0.000    0.000    0.000    0.000 {built-in method torch._C._has_torch_function}
      280    0.000    0.000    0.000    0.000 dataclasses.py:543(<listcomp>)
      614    0.000    0.000    0.002    0.000 typing.py:837(<genexpr>)
      490    0.000    0.000    0.001    0.000 font_manager.py:1112(_expand_aliases)
      288    0.000    0.000    0.000    0.000 contextlib.py:694(__exit__)
     1431    0.000    0.000    0.000    0.000 inspect.py:2865(parameters)
      457    0.000    0.000    0.000    0.000 inspect.py:1748(_signature_get_user_defined_method)
      280    0.000    0.000    0.000    0.000 dataclasses.py:924(<listcomp>)
       89    0.000    0.000    0.035    0.000 dispatcher.py:178(add)
      144    0.000    0.000    0.000    0.000 backend_bases.py:1807(is_saving)
       55    0.000    0.000    0.001    0.000 tokenize.py:295(detect_encoding)
      233    0.000    0.000    0.000    0.000 functools.py:478(lru_cache)
     14/2    0.000    0.000    0.783    0.391 module.py:897(_apply)
      144    0.000    0.000    0.001    0.000 GifImagePlugin.py:857(_get_header_palette)
     1072    0.000    0.000    0.000    0.000 _type_check_impl.py:125(_imag_dispatcher)
        1    0.000    0.000    0.015    0.015 symbolic_convert.py:725(InstructionTranslatorBase)
       10    0.000    0.000    0.011    0.001 __init__.py:266(_make_prim)
        2    0.000    0.000    0.033    0.016 numbers.py:1(<module>)
       89    0.000    0.000    0.000    0.000 conflict.py:67(<dictcomp>)
       89    0.000    0.000    0.035    0.000 dispatcher.py:222(reorder)
      290    0.000    0.000    0.000    0.000 _base.py:1606(get_aspect)
      597    0.000    0.000    0.000    0.000 registration.py:268(onnx_symbolic)
        3    0.000    0.000    0.055    0.018 _base.py:564(__init__)
        6    0.000    0.000    0.000    0.000 {method 'copy_' of 'torch._C.TensorBase' objects}
        2    0.000    0.000    0.010    0.005 legend.py:851(_init_legend_box)
       65    0.000    0.000    0.001    0.000 textwrap.py:414(dedent)
      284    0.000    0.000    0.002    0.000 _normalizations.py:204(normalizer_inner)
      135    0.000    0.000    0.000    0.000 __init__.py:232(_tensor_or_tensors_to_tuple)
      162    0.000    0.000    0.000    0.000 __init__.py:107(_is_compiled)
      701    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
    54/11    0.000    0.000    0.001    0.000 configurable.py:138(_find_my_config)
      571    0.000    0.000    0.000    0.000 {method 'values' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 serialization.py:670(__init__)
        1    0.000    0.000    0.001    0.001 wrap.py:7(<module>)
       74    0.000    0.000    0.000    0.000 __init__.py:1404(__init__)
      971    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
      144    0.000    0.000    0.000    0.000 backend_bases.py:1209(__init__)
       27    0.000    0.000    0.003    0.000 library.py:75(__init__)
      294    0.000    0.000    0.000    0.000 scale.py:96(__init__)
        1    0.000    0.000    0.384    0.384 symbolic_shapes.py:3(<module>)
       95    0.000    0.000    0.000    0.000 sympify.py:98(sympify)
        7    0.000    0.000    0.002    0.000 gridspec.py:648(get_position)
  227/186    0.000    0.000    0.000    0.000 typing.py:170(_type_repr)
      292    0.000    0.000    0.000    0.000 _base.py:1168(get_axes_locator)
       41    0.000    0.000    0.001    0.000 sre_compile.py:560(_compile_info)
      288    0.000    0.000    0.000    0.000 Image.py:534(height)
       13    0.000    0.000    0.001    0.000 tokenize.py:388(open)
        1    0.000    0.000    0.306    0.306 trace_rules.py:2(<module>)
        1    0.000    0.000    0.005    0.005 points_collector.py:170(count_final_scores)
      267    0.000    0.000    0.000    0.000 libmpf.py:291(from_man_exp)
      118    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1606(path_hook_for_FileFinder)
        2    0.000    0.000    0.011    0.006 legend.py:354(__init__)
      143    0.000    0.000    0.000    0.000 Image.py:3162(_decompression_bomb_check)
        7    0.000    0.000    0.001    0.000 iostream.py:655(write)
      347    0.000    0.000    0.000    0.000 {built-in method unicodedata.lookup}
      991    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
       27    0.000    0.000    0.000    0.000 {built-in method torch._C._dispatch_library}
      135    0.000    0.000    0.000    0.000 optimizer.py:109(_stack_if_compiling)
      432    0.000    0.000    0.000    0.000 backend_bases.py:617(flipy)
      134    0.000    0.000    0.000    0.000 path.py:344(__len__)
  271/252    0.000    0.000    0.000    0.000 typing.py:933(__hash__)
      135    0.000    0.000    0.000    0.000 {method 'numel' of 'torch._C.TensorBase' objects}
        6    0.000    0.000    0.000    0.000 {method 'uniform_' of 'torch._C.TensorBase' objects}
       73    0.000    0.000    0.008    0.000 Image.py:1598(histogram)
       79    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
      135    0.000    0.000    0.000    0.000 _foreach_utils.py:12(_get_fused_kernels_supported_devices)
      265    0.000    0.000    0.000    0.000 meeple_position.py:10(__eq__)
      135    0.000    0.000    0.001    0.000 graphs.py:25(is_current_stream_capturing)
      148    0.000    0.000    0.001    0.000 transforms.py:966(x1)
        8    0.000    0.000    0.238    0.030 decorators.py:245(wrapper)
      144    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.OrderedDict' objects}
      263    0.000    0.000    0.000    0.000 function.py:145(<listcomp>)
      323    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      323    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      597    0.000    0.000    0.000    0.000 registration.py:82(in_base)
      606    0.000    0.000    0.000    0.000 linear.py:46(forward)
      553    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
      696    0.000    0.000    0.000    0.000 sre_parse.py:287(tell)
      288    0.000    0.000    0.000    0.000 {built-in method contourpy._contourpy.supports_quad_as_tri}
       85    0.000    0.000    0.000    0.000 basic.py:229(__new__)
      736    0.000    0.000    0.000    0.000 posixpath.py:52(normcase)
      288    0.000    0.000    0.000    0.000 _base.py:1801(get_anchor)
        2    0.000    0.000    0.363    0.182 _tight_layout.py:20(_auto_adjust_subplotpars)
       38    0.000    0.000    0.001    0.000 symbol.py:332(__xnew__)
      288    0.000    0.000    0.000    0.000 _function_base_impl.py:5229(_meshgrid_dispatcher)
       34    0.000    0.000    0.001    0.000 symbol.py:480(__new__)
      438    0.000    0.000    0.000    0.000 multiarray.py:678(result_type)
      438    0.000    0.000    0.000    0.000 ticker.py:1762(tick_values)
      288    0.000    0.000    0.000    0.000 backend_agg.py:276(option_image_nocomposite)
      418    0.000    0.000    0.000    0.000 loader.py:219(_is_section_key)
       33    0.000    0.000    0.015    0.000 symbolic_convert.py:295(stack_op)
      893    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.878    0.878 convert_frame.py:2(<module>)
      294    0.000    0.000    0.000    0.000 __init__.py:335(wrapper)
      117    0.000    0.000    0.000    0.000 points_collector.py:250(<lambda>)
      280    0.000    0.000    0.000    0.000 dataclasses.py:940(<listcomp>)
      597    0.000    0.000    0.000    0.000 registration.py:77(set_base)
       42    0.000    0.000    0.000    0.000 typing.py:628(__init__)
        4    0.000    0.000    0.181    0.045 __init__.py:2(<module>)
      172    0.000    0.000    0.000    0.000 decorator.py:178(public)
        1    0.000    0.000    0.027    0.027 symbolic_convert.py:2(<module>)
      141    0.000    0.000    0.000    0.000 {built-in method torch._C._has_torch_function_variadic}
      108    0.000    0.000    0.000    0.000 configurable.py:132(<listcomp>)
      134    0.000    0.000    0.013    0.000 patches.py:1652(get_patch_transform)
      193    0.000    0.000    0.000    0.000 function.py:147(<listcomp>)
      288    0.000    0.000    0.000    0.000 enum_util.py:42(as_z_interp)
       39    0.000    0.000    0.000    0.000 enum.py:618(_find_new_)
      968    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1031(get_filename)
      282    0.000    0.000    0.000    0.000 lines.py:609(get_markevery)
      144    0.000    0.000    0.000    0.000 artist.py:1105(get_zorder)
     1156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
     1474    0.000    0.000    0.000    0.000 inspect.py:2552(default)
      270    0.000    0.000    0.000    0.000 {method '__exit__' of 'torch._C.DisableTorchFunctionSubclass' objects}
      148    0.000    0.000    0.000    0.000 transforms.py:262(x1)
       41    0.000    0.000    0.025    0.001 sre_parse.py:944(parse)
      964    0.000    0.000    0.000    0.000 utils.py:56(<genexpr>)
      108    0.000    0.000    0.001    0.000 inspect.py:2073(p)
      506    0.000    0.000    0.000    0.000 __init__.py:1424(debug)
      288    0.000    0.000    0.000    0.000 lines.py:901(get_drawstyle)
      936    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      290    0.000    0.000    0.000    0.000 artist.py:723(get_figure)
       83    0.000    0.000    0.001    0.000 contextlib.py:234(contextmanager)
        1    0.000    0.000    0.114    0.114 codecache.py:1(<module>)
       18    0.000    0.000    0.003    0.000 offsetbox.py:684(__init__)
        1    0.000    0.000    0.001    0.001 config.py:452(<listcomp>)
      167    0.000    0.000    0.000    0.000 sre_compile.py:265(_compile_charset)
      510    0.000    0.000    0.000    0.000 facts.py:579(__init__)
        8    0.000    0.000    0.000    0.000 module.py:473(__init__)
        1    0.000    0.000    0.002    0.002 symbolic_shapes.py:2310(ShapeEnv)
       55    0.000    0.000    0.002    0.000 typing.py:894(__getitem_inner__)
      288    0.000    0.000    0.000    0.000 {built-in method contourpy._contourpy.supports_z_interp}
       26    0.000    0.000    0.001    0.000 inspect.py:1129(getfullargspec)
      684    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
      494    0.000    0.000    0.000    0.000 dataclasses.py:281(__set_name__)
    95/86    0.000    0.000    0.001    0.000 typing.py:786(__repr__)
       16    0.000    0.000    0.001    0.000 patches.py:281(update_from)
      179    0.000    0.000    0.003    0.000 linecache.py:36(getlines)
      309    0.000    0.000    0.000    0.000 function.py:150(<lambda>)
        1    0.000    0.000    0.155    0.155 aot_autograd.py:3(<module>)
       41    0.000    0.000    0.000    0.000 sorting.py:179(_nodes)
   120/62    0.000    0.000    0.000    0.000 offsetbox.py:233(axes)
      8/2    0.000    0.000    0.013    0.007 offsetbox.py:441(_get_bbox_and_child_offsets)
        1    0.000    0.000    0.002    0.002 _funcs.py:3(<module>)
        1    0.000    0.000    0.003    0.003 builder.py:3(<module>)
      418    0.000    0.000    0.001    0.000 loader.py:308(_has_section)
        6    0.000    0.000    0.000    0.000 {built-in method _make_subclass}
        6    0.000    0.000    0.004    0.001 _utils.py:55(_to)
      936    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1481(<genexpr>)
      282    0.000    0.000    0.000    0.000 markers.py:355(get_alt_path)
      964    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
       11    0.000    0.000    0.000    0.000 traitlets.py:1911(traits)
       60    0.000    0.000    0.002    0.000 offsetbox.py:211(__init__)
      175    0.000    0.000    0.000    0.000 misc.py:501(as_int)
        2    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
      144    0.000    0.000    0.000    0.000 carcassonne_game.py:40(get_current_player)
      135    0.000    0.000    0.000    0.000 __init__.py:38(is_built)
        2    0.000    0.000    0.000    0.000 _arraysetops_impl.py:833(_in1d)
        3    0.000    0.000    0.000    0.000 _config_module.py:30(visit)
       26    0.000    0.000    0.001    0.000 offsetbox.py:70(_get_packed_offsets)
        1    0.000    0.000    0.006    0.006 output_graph.py:2(<module>)
       28    0.000    0.000    0.000    0.000 transforms.py:608(padded)
        1    0.000    0.000    0.009    0.009 guards.py:2(<module>)
      282    0.000    0.000    0.000    0.000 markers.py:374(get_snap_threshold)
      446    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1491(invalidate_caches)
      262    0.000    0.000    0.000    0.000 fromnumeric.py:3263(_ndim_dispatcher)
        1    0.000    0.000    0.009    0.009 matrixbase.py:1(<module>)
      602    0.000    0.000    0.000    0.000 typing.py:928(__eq__)
      162    0.000    0.000    0.000    0.000 base.py:113(__init__)
      280    0.000    0.000    0.000    0.000 dataclasses.py:300(__init__)
      108    0.000    0.000    0.000    0.000 configurable.py:129(section_names)
      875    0.000    0.000    0.000    0.000 {method 'popitem' of 'collections.OrderedDict' objects}
        7    0.000    0.000    0.000    0.000 module.py:2295(_load_from_state_dict)
      263    0.000    0.000    0.000    0.000 iterables.py:3083(is_sequence)
       47    0.000    0.000    0.002    0.000 traitlets.py:1527(_notify_observers)
        1    0.000    0.000    0.006    0.006 eval_frame.py:4(<module>)
      288    0.000    0.000    0.000    0.000 backend_bases.py:987(set_hatch_color)
       88    0.000    0.000    0.001    0.000 _ops.py:1247(_get_packet)
      116    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      429    0.000    0.000    0.000    0.000 loader.py:295(__contains__)
        1    0.000    0.000    0.001    0.001 symbolic_opset11.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:606(_FileInFile)
       79    0.000    0.000    0.000    0.000 enum.py:571(_get_mixins_)
        2    0.000    0.000    0.004    0.002 tags.py:5(<module>)
      224    0.000    0.000    0.001    0.000 pathlib.py:755(as_posix)
      166    0.000    0.000    0.000    0.000 patches.py:816(rotation_point)
      135    0.000    0.000    0.000    0.000 {built-in method torch._C._has_torch_function_unary}
       21    0.000    0.000    0.003    0.000 typing.py:1866(__new__)
      523    0.000    0.000    0.000    0.000 __init__.py:1689(isEnabledFor)
  103/102    0.000    0.000    0.001    0.000 cache.py:69(wrapper)
       55    0.000    0.000    0.000    0.000 singleton.py:106(__getattr__)
      288    0.000    0.000    0.000    0.000 backend_bases.py:968(set_hatch)
      134    0.000    0.000    0.000    0.000 patches.py:1673(set_width)
       12    0.000    0.000    0.002    0.000 spines.py:35(__init__)
       75    0.000    0.000    0.001    0.000 typing.py:524(__init__)
      144    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
        1    0.000    0.000    0.175    0.175 builtin.py:3(<module>)
      288    0.000    0.000    0.000    0.000 contextlib.py:486(__enter__)
        1    0.000    0.000    0.002    0.002 torch.py:3(<module>)
        6    0.000    0.000    0.002    0.000 axis.py:633(__init__)
      333    0.000    0.000    0.001    0.000 typing.py:920(<genexpr>)
        1    0.000    0.000    0.000    0.000 maple.py:84(MapleCodePrinter)
       42    0.000    0.000    0.000    0.000 tokenize.py:404(tokenize)
      278    0.000    0.000    0.000    0.000 dataclasses.py:949(<listcomp>)
       74    0.000    0.000    0.002    0.000 abc.py:105(__new__)
      140    0.000    0.000    0.000    0.000 path.py:807(unit_circle)
       39    0.000    0.000    0.000    0.000 enum.py:561(_check_for_existing_members)
        1    0.000    0.000    0.000    0.000 polytools.py:105(Poly)
      587    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      282    0.000    0.000    0.000    0.000 markers.py:336(get_path)
        1    0.000    0.000    0.018    0.018 source.py:2(<module>)
      116    0.000    0.000    0.002    0.000 fromnumeric.py:602(transpose)
      472    0.000    0.000    0.000    0.000 utils.py:46(register_op_strategy)
        1    0.000    0.000    0.004    0.004 _optim_utils.py:2(<module>)
      144    0.000    0.000    0.000    0.000 image.py:856(get_filterrad)
      258    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       66    0.000    0.000    0.000    0.000 typing.py:936(__repr__)
       20    0.000    0.000    0.002    0.000 linecache.py:80(updatecache)
      282    0.000    0.000    0.000    0.000 markers.py:296(get_marker)
      288    0.000    0.000    0.000    0.000 {built-in method contourpy._contourpy.supports_threads}
   161/51    0.000    0.000    0.003    0.000 traitlets.py:629(get)
        4    0.000    0.000    0.000    0.000 symbolic_convert.py:718(<dictcomp>)
       37    0.000    0.000    0.017    0.000 core.py:59(_)
        2    0.000    0.000    0.000    0.000 path.py:773(unit_regular_star)
        1    0.000    0.000    0.003    0.003 _functional_collectives.py:2(<module>)
       54    0.000    0.000    0.001    0.000 _ops.py:1009(__init__)
        1    0.000    0.000    0.005    0.005 _init_utils.py:2(<module>)
       38    0.000    0.000    0.015    0.000 inspect.py:2136(_signature_from_builtin)
        1    0.000    0.000    0.000    0.000 compatibility.py:1(<module>)
      213    0.000    0.000    0.000    0.000 ctx_mp_python.py:1014(_wrap_specfun)
      144    0.000    0.000    0.000    0.000 backend_bases.py:953(set_gid)
       12    0.000    0.000    0.000    0.000 {built-in method torch._has_compatible_shallow_copy_type}
        1    0.000    0.000    3.181    3.181 agents_ai.py:90(__init__)
        1    0.000    0.000    0.006    0.006 {method 'load' of '_pickle.Unpickler' objects}
       41    0.000    0.000    0.047    0.001 jit.py:865(decorator)
        1    0.000    0.000    0.000    0.000 matrixbase.py:98(MatrixBase)
      875    0.000    0.000    0.000    0.000 conflict.py:67(<listcomp>)
        4    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
        9    0.000    0.000    0.009    0.001 custom_ops.py:585(_register_to_dispatcher)
       27    0.000    0.000    0.002    0.000 traceback.py:200(extract_stack)
      146    0.000    0.000    0.000    0.000 spines.py:199(get_path)
        1    0.000    0.000    0.002    0.002 _math_ops.py:4(<module>)
      154    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
      280    0.000    0.000    0.000    0.000 dataclasses.py:943(<listcomp>)
       26    0.000    0.000    0.000    0.000 offsetbox.py:151(_get_aligned_offsets)
       41    0.000    0.000    0.000    0.000 enum.py:977(__and__)
      144    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.BufferedRandom' objects}
        4    0.000    0.000    0.030    0.008 api.py:2(<module>)
        4    0.000    0.000    0.020    0.005 compiler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 trace_rules.py:2989(<dictcomp>)
       37    0.000    0.000    0.000    0.000 typing.py:1007(__init_subclass__)
        1    0.000    0.000    0.000    0.000 __init__.py:809(copy)
       72    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
      790    0.000    0.000    0.000    0.000 utils.py:45(<genexpr>)
      288    0.000    0.000    0.000    0.000 contextlib.py:691(__enter__)
      272    0.000    0.000    0.000    0.000 _utils_internal.py:271(justknobs_check)
       89    0.000    0.000    0.018    0.000 conflict.py:24(ambiguities)
        1    0.000    0.000    0.000    0.000 fu.py:1(<module>)
      144    0.000    0.000    0.000    0.000 image.py:837(get_filternorm)
      216    0.000    0.000    0.000    0.000 sre_compile.py:447(_simple)
      270    0.000    0.000    0.000    0.000 __init__.py:128(annotate)
        3    0.000    0.000    0.003    0.001 solvers.py:1(<module>)
     60/2    0.000    0.000    0.000    0.000 offsetbox.py:221(set_figure)
        2    0.000    0.000    0.001    0.000 _state_dict_utils.py:2(<module>)
        2    0.000    0.000    0.013    0.006 dense.py:1(<module>)
      137    0.000    0.000    0.000    0.000 sre_parse.py:433(_uniq)
        1    0.000    0.000    0.014    0.014 partitioners.py:2(<module>)
        4    0.000    0.000    0.002    0.001 util.py:1(<module>)
      750    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       28    0.000    0.000    0.000    0.000 weakref.py:569(__init__)
       21    0.000    0.000    0.003    0.000 typing.py:1846(_make_nmtuple)
       67    0.000    0.000    0.000    0.000 fromnumeric.py:1204(_argmax_dispatcher)
        2    0.000    0.000    0.005    0.002 transforms.py:1(<module>)
       24    0.000    0.000    0.000    0.000 typing.py:1192(__init_subclass__)
       75    0.000    0.000    0.003    0.000 dataclasses.py:589(_hash_fn)
        1    0.000    0.000    0.034    0.034 __init__.py:4(<module>)
        2    0.000    0.000    0.001    0.001 libdevice.py:1(<module>)
        1    0.000    0.000    0.000    0.000 meijerint.py:1(<module>)
       16    0.000    0.000    0.000    0.000 legend.py:825(get_legend_handler)
        1    0.000    0.000    0.013    0.013 runtime_wrappers.py:2(<module>)
       41    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.015    0.015 fully_sharded_data_parallel.py:3(<module>)
        1    0.000    0.000    0.002    0.002 laplace.py:1(<module>)
      237    0.000    0.000    0.000    0.000 inspect.py:286(isbuiltin)
     18/2    0.000    0.000    0.013    0.007 offsetbox.py:479(<listcomp>)
      148    0.000    0.000    0.000    0.000 figure.py:2600(_check_layout_engines_compat)
        1    0.000    0.000    0.000    0.000 builtin.py:98(BuiltinVariable)
      293    0.000    0.000    0.000    0.000 dataclasses.py:554(<genexpr>)
        1    0.000    0.000    0.001    0.001 pretty_symbology.py:1(<module>)
        1    0.000    0.000    0.034    0.034 standard.py:1(<module>)
      128    0.000    0.000    0.000    0.000 jit.py:261(annotation)
       29    0.000    0.000    0.000    0.000 singleton.py:165(__init__)
        1    0.000    0.000    0.000    0.000 sdm.py:25(SDM)
      284    0.000    0.000    0.002    0.000 _normalizations.py:203(normalizer)
        1    0.000    0.000    0.001    0.001 _tensor_ops.py:4(<module>)
        4    0.000    0.000    0.000    0.000 symbolic_convert.py:722(<listcomp>)
       28    0.000    0.000    0.001    0.000 _internal.py:550(getArtifactLogger)
       84    0.000    0.000    0.002    0.000 linecache.py:26(getline)
       82    0.000    0.000    0.000    0.000 offsetbox.py:184(<genexpr>)
        1    0.000    0.000    0.000    0.000 series.py:126(BaseSeries)
        3    0.000    0.000    0.010    0.003 pyplot.py:870(figure)
        2    0.000    0.000    0.000    0.000 traitlets.py:994(setup_class)
       39    0.000    0.000    0.000    0.000 enum.py:81(__init__)
        1    0.000    0.000    0.004    0.004 decompositions_for_rng.py:3(<module>)
        1    0.000    0.000    0.003    0.003 libmpf.py:1(<module>)
       37    0.000    0.000    0.001    0.000 core.py:76(ismethod)
        1    0.000    0.000    0.000    0.000 symbolic_opset13.py:6(<module>)
      385    0.000    0.000    0.000    0.000 typing.py:565(__eq__)
        3    0.000    0.000    0.000    0.000 gridspec.py:212(__getitem__)
        1    0.000    0.000    0.000    0.000 rootisolation.py:1(<module>)
      144    0.000    0.000    0.000    0.000 artist.py:598(set_url)
       66    0.000    0.000    0.000    0.000 tokenize.py:325(find_cookie)
      299    0.000    0.000    0.000    0.000 inspect.py:237(istraceback)
       89    0.000    0.000    0.000    0.000 symbolic_helper.py:335(decorator)
      245    0.000    0.000    0.000    0.000 typing.py:337(__repr__)
       75    0.000    0.000    0.003    0.000 dataclasses.py:770(_hash_add)
      292    0.000    0.000    0.000    0.000 {built-in method torch._C.get}
      241    0.000    0.000    0.000    0.000 sre_parse.py:169(__setitem__)
      213    0.000    0.000    0.000    0.000 ctx_fp.py:51(_wrap_specfun)
      144    0.000    0.000    0.000    0.000 {method 'getpalettemode' of 'ImagingCore' objects}
       10    0.000    0.000    0.000    0.000 symbol.py:640(symbols)
        8    0.000    0.000    0.000    0.000 typing.py:860(__repr__)
        1    0.000    0.000    0.000    0.000 dist.py:1030(DistributionMetadata)
        1    0.000    0.000    0.002    0.002 checkpoint.py:3(<module>)
      153    0.000    0.000    0.003    0.000 trace_rules.py:3349(<genexpr>)
       55    0.000    0.000    0.001    0.000 typing.py:876(copy_with)
       81    0.000    0.000    0.001    0.000 traceback.py:285(line)
       10    0.000    0.000    0.066    0.007 library.py:161(_register_fake)
        9    0.000    0.000    0.000    0.000 utils.py:289(has_kwarg_only_tensors)
       56    0.000    0.000    0.000    0.000 decorator.py:227(memoize_property)
       74    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        3    0.000    0.000    0.055    0.018 gridspec.py:249(subplots)
        1    0.000    0.000    0.003    0.003 cpp_builder.py:4(<module>)
        2    0.000    0.000    0.033    0.016 dist.py:1(<module>)
        2    0.000    0.000    0.001    0.000 __init__.py:1139(rc_context)
      424    0.000    0.000    0.000    0.000 typing_extensions.py:3462(<listcomp>)
        1    0.000    0.000    0.002    0.002 _ufuncs.py:3(<module>)
      7/1    0.000    0.000    0.001    0.001 module.py:2531(load)
      107    0.000    0.000    0.000    0.000 _ops.py:46(__init__)
        1    0.000    0.000    0.000    0.000 sequences.py:726(RecursiveSeq)
      276    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
      267    0.000    0.000    0.000    0.000 dispatcher.py:204(<genexpr>)
        6    0.000    0.000    0.000    0.000 _guards.py:869(detect_fake_mode)
      158    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
       28    0.000    0.000    0.000    0.000 utils.py:120(is_tensor_like_type)
       89    0.000    0.000    0.000    0.000 utils.py:44(<dictcomp>)
        1    0.000    0.000    0.000    0.000 pythonmpq.py:46(PythonMPQ)
      168    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        1    0.000    0.000    0.016    0.016 polytools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _einsum_strategy.py:16(EinsumDims)
        2    0.000    0.000    0.362    0.181 deprecation.py:446(wrapper)
        1    0.000    0.000    0.003    0.003 triton_kernel_wrap.py:2(<module>)
       55    0.000    0.000    0.000    0.000 sre_parse.py:296(_class_escape)
       27    0.000    0.000    0.000    0.000 _ops.py:103(inner)
        1    0.000    0.000    0.001    0.001 symbolic_opset10.py:3(<module>)
        2    0.000    0.000    0.000    0.000 _base.py:4505(<listcomp>)
        9    0.000    0.000    0.010    0.001 custom_ops.py:129(inner)
        1    0.000    0.000    0.001    0.001 evalf.py:1(<module>)
